id,post,label
1,not surprised liberals islamists biggest threat to india oh add indian main stream media to it as well,1
2,liam neeson narnias aslan the lion could be muhammad as well as christ via,0
3,ur right its simple islam is not part of our civilization via bill warner phd,1
4,except we dont behead queers and rape women unlike folks on the right but sure we terrorize white supremacists,0
5,pastors take note white architect designed your church whites built it whites paid for it white supremacy good,1
6,im sure everyone is going to tell you how brave you are for letting this racist on your show,0
7,its ludicrous youre hate can only produce one thing and thats more hate fascists,0
8,that is insane every mosque ought to be baconated dont break the windows just make a food donation banislam,1
9,What two kinds of people are totally different but always look the same Asians and hepatitis patients,1
10,proletariat brown people bourgeoisie white people,1
11,the racist organization trump should be disavowing is planned parenthood founded by racist margaret sanger who called blacks bad weeds,0
12,one time shaving i left a little hitler stache just to see how it looked saw guilty party and solution in mirror just like u said,0
13,you should see sm towns in arkansas majority were white 70 blacks 25 other 5 now white 45 black 20 mexican maj illegals 35,1
14,true trump listens to experts sessions on immigrtn forbes on tax call him,0
15,anti-racist activist raped by non-white immigrant after attending anti-racism festival read more via,1
16,i voted for ron paul in 2008 and 2012 not because i am a libertarian but because of neocon foreign policy,0
17,it reduces the white majority and challenges white privilege so its worth it to them,0
18,blood honour the white aryan resistance t-shirt from the white resister,1
19,exactly so not alllll white people are out to get you then,0
20,imho white identity in the form of blood soil the white folk was at the source of the trump win,0
21,its not islamophobia if they really are trying to kill you,1
22,i hope takes it up having said that i have to add that vasans eyecare xcellent in delhi,0
23,whitegenocide white revolution is the only solution standupwhiteman 14words,1
24,lewis is another racist liar,0
25,rt there is much more to race than skin tone ie an albino black african doesnt become white simply because of h,0
26,also using a lower case white might make you look less white surpremacycy -- is that even right,1
27,why did a black man cross the road hey gimme back my wallet,1
28,honestly would a well-funded opposition party act any different than our current news media,0
29,fair is a known hate group with its roots in white supremacy,0
30,its a public college you people use pejoratives because you have no argumentwhat you deem hate is really just anti-white rhetoric,0
31,white cosmopolitan liberals the new white supremacy via,0
32,white folks are the answer read your history stophate,0
33,will you please sign petition to end genocide in south africa and rt thanks,0
34,more holocaust cartoons from our forum rvisionniste en franais here are some easily understood informat,0
35,youve proved my point you are anti-white please keep attacking innocent white people w,1
36,pikeville conference coming soon registration now available daily stormer,0
37,the people hate the gop dont worry charlottesville was just the beginning were growing extremely fast,1
38,im tired of eating human flesh south african cops probe cannibalism swrm animals via,0
39,in the popular mind white supremacist means that you want to dominate kill other races would you like,0
40,the antifa are claiming someone on the street yelled directions to fields,0
41,1 proud boys seems to be a superficial imitation of the alt-right assimilating stuff from the manosphere but,0
42,lives in the usa europe and you said white people are the superior race,0
43,bishop harry jackson at i pledge event is talking about defending marriage,0
44,americas poorest white town proves link between race and crime via,0
45,all white huh colorblind much,0
46,antifa was there to pick a fight they were there for blood,0
47,it would be nice to have historically white colleges and universities we have them in the south that would be called racist though,1
48,why did nbc scrub osu jihadist facebook quotes this is msm diluting the truth of political islam ohiostate,1
49,where christians are well and truly kept in their place,0
50,social media has played a major role in the decline of the trucons as well no platforming is less and less effective,0
51,who is behind mass third world immigration in sweden,1
52,vote donald trump hes racist and hes 1 with racist stupidtrumpvoters,1
53,founding greater caribbean,0
54,who snoopdogg kanyewest you all bet not be talking bout god faith peddling racist misogynists,1
55,i am a fan of the white people who built the west the 14 words are for them,0
56,you say racism is not prevalent today to you mean among black people or white people what is your logic based on,0
57,which should be disavowed - the alt-right or twinks for trump so far only the alt-right has been denounced,0
58,i want to pushback on the myth that conservatism doesnt conserve anything thats a half truth when it comes to the unpopular neoliberal economic agenda theyve been very successful with that,0
59,anti-lgbt hate group has failed to convince the nation to oppose marriage equality and has failed basic math,0
60,im not a big fan of kelli ward blackburn and hawley are good prince im not too sure about that one,0
61,jcot tcot jihad spencer obama throws israel to the dogs via,0
62,thanks for asking others to contact sec hagel re protecting servicemembers religious freedom,0
63,cruz made trump more legitimate to republicans he could never carry the nevertrump mantle,0
64,lgenpresse smears the alt-right via,0
65,First of all youre a fucking wetback Secondly youre pro-kike therefore anti-White Firing squad for you traitor,1
66,nothing acceptable about it if i ever catch someone sexually abusing a child ill have no problem siting in jail for putting a hot round in the back of their skull,1
67,the india with which rajdeep identifies himself was given birth in 1947 by nehruso he knows not about our 10000 yrs,0
68,rt foreign students enjoy new summer job protections but what about americans afire,0
69,the proudboys are all about inclusion unless youre white and proud - then theyre all about exclusion,0
70,he should be fired for virtue signaling like a cuck before any evidence was out how can a man like that lead soldiers,1
71,if you dont we will start our own chapter of white brother hood,0
72,the black community in america is resting on the pillars of state welfare and affirmative action produced white guilt,1
73,so you are in favor of trans people in the military and gay marriage,0
74,mission 2024 national socialist party must form government to carry forward the agenda of nationalism after,0
75,this must b fake news b cuz dems media keep telling us every illegal follows the law except the laws regarding immigration id theft etc,0
76,rt antiwhites expose their hatred of white kids after seeing this picture white child white supremacy,1
77,mam same thing happened with the indian miracle-buster stuck infinland,0
78,mexico lets even helps illegal cross us borders and now they dont want them back cut all aid,1
79,what is ironic about the lgbt allcaps flag all the colors are straight,1
80,this is a racist ad by this organization hiding behind fair 2 breed hate racism standup against these nefarious orgs,0
81,mighty hard to make a great country out of legal third world people,1
82,hollywood jew harvey weinstein busted for decades-long sexual abuse of white women via,1
